doc,obs,pred
347781newsML.txt,RobinSidel,RobinSidel
306379newsML.txt,RobinSidel,RobinSidel
324849newsML.txt,RobinSidel,RobinSidel
284041newsML.txt,RobinSidel,RobinSidel
363477newsML.txt,RobinSidel,RobinSidel
337819newsML.txt,RobinSidel,RobinSidel
350225newsML.txt,RobinSidel,RobinSidel
267356newsML.txt,RobinSidel,RobinSidel
37351newsML.txt,RobinSidel,RobinSidel
293670newsML.txt,RobinSidel,RobinSidel
270336newsML.txt,RobinSidel,RobinSidel
267130newsML.txt,RobinSidel,RobinSidel
344160newsML.txt,RobinSidel,RobinSidel
269930newsML.txt,RobinSidel,RobinSidel
303411newsML.txt,RobinSidel,RobinSidel
363336newsML.txt,RobinSidel,RobinSidel
302939newsML.txt,RobinSidel,RobinSidel
363245newsML.txt,RobinSidel,RobinSidel
352207newsML.txt,RobinSidel,RobinSidel
267467newsML.txt,RobinSidel,RobinSidel
315690newsML.txt,RobinSidel,DavidLawder
304717newsML.txt,RobinSidel,RobinSidel
324820newsML.txt,RobinSidel,RobinSidel
269611newsML.txt,RobinSidel,RobinSidel
284177newsML.txt,RobinSidel,RobinSidel
302146newsML.txt,RobinSidel,RobinSidel
27552newsML.txt,RobinSidel,BradDorfman
264346newsML.txt,RobinSidel,RobinSidel
32220newsML.txt,RobinSidel,KirstinRidley
38072newsML.txt,RobinSidel,RobinSidel
304845newsML.txt,RobinSidel,RobinSidel
338537newsML.txt,RobinSidel,RobinSidel
375604newsML.txt,RobinSidel,RobinSidel
317780newsML.txt,RobinSidel,RobinSidel
372407newsML.txt,RobinSidel,RobinSidel
347154newsML.txt,RobinSidel,RobinSidel
275170newsML.txt,RobinSidel,JoeOrtiz
344040newsML.txt,RobinSidel,RobinSidel
264784newsML.txt,RobinSidel,RobinSidel
372617newsML.txt,RobinSidel,RobinSidel
268178newsML.txt,RobinSidel,RobinSidel
273201newsML.txt,RobinSidel,RobinSidel
341018newsML.txt,RobinSidel,RobinSidel
351734newsML.txt,RobinSidel,RobinSidel
305978newsML.txt,RobinSidel,RobinSidel
270064newsML.txt,RobinSidel,RobinSidel
292911newsML.txt,RobinSidel,RobinSidel
338553newsML.txt,RobinSidel,RobinSidel
271767newsML.txt,RobinSidel,RobinSidel
375629newsML.txt,RobinSidel,RobinSidel
516888newsML.txt,LynnleyBrowning,LynnleyBrowning
679778newsML.txt,LynnleyBrowning,LynnleyBrowning
340421newsML.txt,LynnleyBrowning,LynnleyBrowning
675753newsML.txt,LynnleyBrowning,LynnleyBrowning
639638newsML.txt,LynnleyBrowning,LynnleyBrowning
597530newsML.txt,LynnleyBrowning,LynnleyBrowning
63900newsML.txt,LynnleyBrowning,LynnleyBrowning
347842newsML.txt,LynnleyBrowning,LynnleyBrowning
692007newsML.txt,LynnleyBrowning,LynnleyBrowning
636476newsML.txt,LynnleyBrowning,LynnleyBrowning
685679newsML.txt,LynnleyBrowning,LynnleyBrowning
55512newsML.txt,LynnleyBrowning,LynnleyBrowning
672497newsML.txt,LynnleyBrowning,LynnleyBrowning
43494newsML.txt,LynnleyBrowning,LynnleyBrowning
511387newsML.txt,LynnleyBrowning,LynnleyBrowning
465820newsML.txt,LynnleyBrowning,LynnleyBrowning
636379newsML.txt,LynnleyBrowning,LynnleyBrowning
639556newsML.txt,LynnleyBrowning,LynnleyBrowning
37045newsML.txt,LynnleyBrowning,LynnleyBrowning
671745newsML.txt,LynnleyBrowning,LynnleyBrowning
334440newsML.txt,LynnleyBrowning,LynnleyBrowning
52569newsML.txt,LynnleyBrowning,LynnleyBrowning
672575newsML.txt,LynnleyBrowning,LynnleyBrowning
420768newsML.txt,LynnleyBrowning,LynnleyBrowning
663160newsML.txt,LynnleyBrowning,LynnleyBrowning
442294newsML.txt,LynnleyBrowning,LynnleyBrowning
360041newsML.txt,LynnleyBrowning,LynnleyBrowning
56273newsML.txt,LynnleyBrowning,LynnleyBrowning
642734newsML.txt,LynnleyBrowning,LynnleyBrowning
601534newsML.txt,LynnleyBrowning,LynneO'Donnell
407094newsML.txt,LynnleyBrowning,LynnleyBrowning
37073newsML.txt,LynnleyBrowning,LynnleyBrowning
619783newsML.txt,LynnleyBrowning,LynnleyBrowning
397543newsML.txt,LynnleyBrowning,LynnleyBrowning
353699newsML.txt,LynnleyBrowning,LynnleyBrowning
490772newsML.txt,LynnleyBrowning,LynnleyBrowning
452595newsML.txt,LynnleyBrowning,LynnleyBrowning
55464newsML.txt,LynnleyBrowning,LynnleyBrowning
432812newsML.txt,LynnleyBrowning,LynnleyBrowning
66810newsML.txt,LynnleyBrowning,LynnleyBrowning
669237newsML.txt,LynnleyBrowning,LynnleyBrowning
499374newsML.txt,LynnleyBrowning,LynnleyBrowning
465761newsML.txt,LynnleyBrowning,LynnleyBrowning
48188newsML.txt,LynnleyBrowning,LynnleyBrowning
404096newsML.txt,LynnleyBrowning,LynnleyBrowning
337350newsML.txt,LynnleyBrowning,LynnleyBrowning
565907newsML.txt,LynnleyBrowning,LynnleyBrowning
390774newsML.txt,LynnleyBrowning,LynnleyBrowning
613563newsML.txt,LynnleyBrowning,LynnleyBrowning
481244newsML.txt,LynnleyBrowning,LynnleyBrowning
364308newsML.txt,KouroshKarimkhany,KouroshKarimkhany
586446newsML.txt,KouroshKarimkhany,KouroshKarimkhany
440833newsML.txt,KouroshKarimkhany,KouroshKarimkhany
467261newsML.txt,KouroshKarimkhany,EricAuchard
500025newsML.txt,KouroshKarimkhany,KouroshKarimkhany
340931newsML.txt,KouroshKarimkhany,EricAuchard
579258newsML.txt,KouroshKarimkhany,KouroshKarimkhany
357767newsML.txt,KouroshKarimkhany,KouroshKarimkhany
469597newsML.txt,KouroshKarimkhany,KouroshKarimkhany
413844newsML.txt,KouroshKarimkhany,KouroshKarimkhany
357728newsML.txt,KouroshKarimkhany,KouroshKarimkhany
519412newsML.txt,KouroshKarimkhany,KouroshKarimkhany
367345newsML.txt,KouroshKarimkhany,KouroshKarimkhany
585073newsML.txt,KouroshKarimkhany,KouroshKarimkhany
572318newsML.txt,KouroshKarimkhany,KouroshKarimkhany
560190newsML.txt,KouroshKarimkhany,KouroshKarimkhany
484584newsML.txt,KouroshKarimkhany,KouroshKarimkhany
415396newsML.txt,KouroshKarimkhany,KouroshKarimkhany
436678newsML.txt,KouroshKarimkhany,KouroshKarimkhany
472722newsML.txt,KouroshKarimkhany,KouroshKarimkhany
474506newsML.txt,KouroshKarimkhany,KouroshKarimkhany
469438newsML.txt,KouroshKarimkhany,KouroshKarimkhany
519442newsML.txt,KouroshKarimkhany,NickLouth
479078newsML.txt,KouroshKarimkhany,KouroshKarimkhany
445118newsML.txt,KouroshKarimkhany,KouroshKarimkhany
460088newsML.txt,KouroshKarimkhany,EricAuchard
347274newsML.txt,KouroshKarimkhany,KouroshKarimkhany
442588newsML.txt,KouroshKarimkhany,KouroshKarimkhany
576094newsML.txt,KouroshKarimkhany,TheresePoletti
559907newsML.txt,KouroshKarimkhany,KouroshKarimkhany
332794newsML.txt,KouroshKarimkhany,KouroshKarimkhany
506693newsML.txt,KouroshKarimkhany,SamuelPerry
579892newsML.txt,KouroshKarimkhany,KouroshKarimkhany
494531newsML.txt,KouroshKarimkhany,KouroshKarimkhany
482048newsML.txt,KouroshKarimkhany,KouroshKarimkhany
396513newsML.txt,KouroshKarimkhany,KouroshKarimkhany
515693newsML.txt,KouroshKarimkhany,KouroshKarimkhany
491080newsML.txt,KouroshKarimkhany,KouroshKarimkhany
404573newsML.txt,KouroshKarimkhany,KouroshKarimkhany
578017newsML.txt,KouroshKarimkhany,KouroshKarimkhany
354282newsML.txt,KouroshKarimkhany,KouroshKarimkhany
491651newsML.txt,KouroshKarimkhany,KouroshKarimkhany
542251newsML.txt,KouroshKarimkhany,KouroshKarimkhany
333636newsML.txt,KouroshKarimkhany,EricAuchard
369687newsML.txt,KouroshKarimkhany,EricAuchard
579869newsML.txt,KouroshKarimkhany,KouroshKarimkhany
366916newsML.txt,KouroshKarimkhany,KouroshKarimkhany
359178newsML.txt,KouroshKarimkhany,KouroshKarimkhany
349979newsML.txt,KouroshKarimkhany,KouroshKarimkhany
357220newsML.txt,KouroshKarimkhany,KouroshKarimkhany
637058newsML.txt,MichaelConnor,MichaelConnor
430465newsML.txt,MichaelConnor,MichaelConnor
450775newsML.txt,MichaelConnor,MichaelConnor
625493newsML.txt,MichaelConnor,MichaelConnor
583420newsML.txt,MichaelConnor,MichaelConnor
600966newsML.txt,MichaelConnor,EricAuchard
532335newsML.txt,MichaelConnor,MichaelConnor
526998newsML.txt,MichaelConnor,MichaelConnor
609836newsML.txt,MichaelConnor,MichaelConnor
616986newsML.txt,MichaelConnor,MichaelConnor
42763newsML.txt,MichaelConnor,MichaelConnor
462353newsML.txt,MichaelConnor,MichaelConnor
638970newsML.txt,MichaelConnor,MichaelConnor
491126newsML.txt,MichaelConnor,MichaelConnor
627633newsML.txt,MichaelConnor,MichaelConnor
430536newsML.txt,MichaelConnor,MichaelConnor
462265newsML.txt,MichaelConnor,MichaelConnor
534092newsML.txt,MichaelConnor,MichaelConnor
453294newsML.txt,MichaelConnor,MichaelConnor
520670newsML.txt,MichaelConnor,MichaelConnor
536857newsML.txt,MichaelConnor,MichaelConnor
622688newsML.txt,MichaelConnor,MichaelConnor
582683newsML.txt,MichaelConnor,MichaelConnor
517601newsML.txt,MichaelConnor,MichaelConnor
497480newsML.txt,MichaelConnor,WilliamKazer
459052newsML.txt,MichaelConnor,MichaelConnor
445797newsML.txt,MichaelConnor,MichaelConnor
436742newsML.txt,MichaelConnor,MichaelConnor
528737newsML.txt,MichaelConnor,MichaelConnor
489381newsML.txt,MichaelConnor,MichaelConnor
645726newsML.txt,MichaelConnor,MichaelConnor
469650newsML.txt,MichaelConnor,MichaelConnor
49586newsML.txt,MichaelConnor,MichaelConnor
540454newsML.txt,MichaelConnor,MichaelConnor
436431newsML.txt,MichaelConnor,MichaelConnor
506971newsML.txt,MichaelConnor,MichaelConnor
609390newsML.txt,MichaelConnor,MichaelConnor
542510newsML.txt,MichaelConnor,MichaelConnor
486895newsML.txt,MichaelConnor,MichaelConnor
534165newsML.txt,MichaelConnor,MichaelConnor
530677newsML.txt,MichaelConnor,MichaelConnor
520672newsML.txt,MichaelConnor,MichaelConnor
48231newsML.txt,MichaelConnor,MichaelConnor
633922newsML.txt,MichaelConnor,MichaelConnor
534156newsML.txt,MichaelConnor,MichaelConnor
634005newsML.txt,MichaelConnor,MichaelConnor
449088newsML.txt,MichaelConnor,MichaelConnor
528203newsML.txt,MichaelConnor,MichaelConnor
486930newsML.txt,MichaelConnor,AaronPressman
459205newsML.txt,MichaelConnor,MichaelConnor
47681newsML.txt,JoeOrtiz,JoeOrtiz
467057newsML.txt,JoeOrtiz,JoeOrtiz
455552newsML.txt,JoeOrtiz,JoeOrtiz
