doc,obs,pred
347781newsML.txt,RobinSidel,RobinSidel
306379newsML.txt,RobinSidel,RobinSidel
324849newsML.txt,RobinSidel,JoWinterbottom
284041newsML.txt,RobinSidel,DarrenSchuettler
363477newsML.txt,RobinSidel,RobinSidel
337819newsML.txt,RobinSidel,JohnMastrini
350225newsML.txt,RobinSidel,RobinSidel
267356newsML.txt,RobinSidel,RobinSidel
37351newsML.txt,RobinSidel,RobinSidel
293670newsML.txt,RobinSidel,RobinSidel
270336newsML.txt,RobinSidel,RobinSidel
267130newsML.txt,RobinSidel,RobinSidel
344160newsML.txt,RobinSidel,BradDorfman
269930newsML.txt,RobinSidel,RobinSidel
303411newsML.txt,RobinSidel,RobinSidel
363336newsML.txt,RobinSidel,TheresePoletti
302939newsML.txt,RobinSidel,JohnMastrini
363245newsML.txt,RobinSidel,TheresePoletti
352207newsML.txt,RobinSidel,RobinSidel
267467newsML.txt,RobinSidel,JohnMastrini
315690newsML.txt,RobinSidel,RobinSidel
304717newsML.txt,RobinSidel,RobinSidel
324820newsML.txt,RobinSidel,JaneMacartney
269611newsML.txt,RobinSidel,RobinSidel
284177newsML.txt,RobinSidel,DavidLawder
302146newsML.txt,RobinSidel,RobinSidel
27552newsML.txt,RobinSidel,JohnMastrini
264346newsML.txt,RobinSidel,RobinSidel
32220newsML.txt,RobinSidel,RobinSidel
38072newsML.txt,RobinSidel,TheresePoletti
304845newsML.txt,RobinSidel,RobinSidel
338537newsML.txt,RobinSidel,RobinSidel
375604newsML.txt,RobinSidel,RobinSidel
317780newsML.txt,RobinSidel,JohnMastrini
372407newsML.txt,RobinSidel,RobinSidel
347154newsML.txt,RobinSidel,RobinSidel
275170newsML.txt,RobinSidel,RobinSidel
344040newsML.txt,RobinSidel,RobinSidel
264784newsML.txt,RobinSidel,RobinSidel
372617newsML.txt,RobinSidel,RobinSidel
268178newsML.txt,RobinSidel,RobinSidel
273201newsML.txt,RobinSidel,RobinSidel
341018newsML.txt,RobinSidel,RobinSidel
351734newsML.txt,RobinSidel,RobinSidel
305978newsML.txt,RobinSidel,RobinSidel
270064newsML.txt,RobinSidel,RobinSidel
292911newsML.txt,RobinSidel,RobinSidel
338553newsML.txt,RobinSidel,RobinSidel
271767newsML.txt,RobinSidel,RobinSidel
375629newsML.txt,RobinSidel,RobinSidel
516888newsML.txt,LynnleyBrowning,SamuelPerry
679778newsML.txt,LynnleyBrowning,LynnleyBrowning
340421newsML.txt,LynnleyBrowning,LynnleyBrowning
675753newsML.txt,LynnleyBrowning,JohnMastrini
639638newsML.txt,LynnleyBrowning,TheresePoletti
597530newsML.txt,LynnleyBrowning,BernardHickey
63900newsML.txt,LynnleyBrowning,LynnleyBrowning
347842newsML.txt,LynnleyBrowning,BernardHickey
692007newsML.txt,LynnleyBrowning,LynnleyBrowning
636476newsML.txt,LynnleyBrowning,LynnleyBrowning
685679newsML.txt,LynnleyBrowning,LynnleyBrowning
55512newsML.txt,LynnleyBrowning,AaronPressman
672497newsML.txt,LynnleyBrowning,LynnleyBrowning
43494newsML.txt,LynnleyBrowning,LynnleyBrowning
511387newsML.txt,LynnleyBrowning,TheresePoletti
465820newsML.txt,LynnleyBrowning,TheresePoletti
636379newsML.txt,LynnleyBrowning,LynnleyBrowning
639556newsML.txt,LynnleyBrowning,LynnleyBrowning
37045newsML.txt,LynnleyBrowning,LynnleyBrowning
671745newsML.txt,LynnleyBrowning,LynnleyBrowning
334440newsML.txt,LynnleyBrowning,LynnleyBrowning
52569newsML.txt,LynnleyBrowning,LynnleyBrowning
672575newsML.txt,LynnleyBrowning,LynnleyBrowning
420768newsML.txt,LynnleyBrowning,LynnleyBrowning
663160newsML.txt,LynnleyBrowning,TheresePoletti
442294newsML.txt,LynnleyBrowning,LydiaZajc
360041newsML.txt,LynnleyBrowning,JohnMastrini
56273newsML.txt,LynnleyBrowning,BernardHickey
642734newsML.txt,LynnleyBrowning,LynnleyBrowning
601534newsML.txt,LynnleyBrowning,LynnleyBrowning
407094newsML.txt,LynnleyBrowning,LynnleyBrowning
37073newsML.txt,LynnleyBrowning,TheresePoletti
619783newsML.txt,LynnleyBrowning,LynnleyBrowning
397543newsML.txt,LynnleyBrowning,LynnleyBrowning
353699newsML.txt,LynnleyBrowning,LynnleyBrowning
490772newsML.txt,LynnleyBrowning,JohnMastrini
452595newsML.txt,LynnleyBrowning,LynnleyBrowning
55464newsML.txt,LynnleyBrowning,BernardHickey
432812newsML.txt,LynnleyBrowning,LynnleyBrowning
66810newsML.txt,LynnleyBrowning,LynnleyBrowning
669237newsML.txt,LynnleyBrowning,LynnleyBrowning
499374newsML.txt,LynnleyBrowning,JohnMastrini
465761newsML.txt,LynnleyBrowning,FumikoFujisaki
48188newsML.txt,LynnleyBrowning,TheresePoletti
404096newsML.txt,LynnleyBrowning,TheresePoletti
337350newsML.txt,LynnleyBrowning,LynnleyBrowning
565907newsML.txt,LynnleyBrowning,LynnleyBrowning
390774newsML.txt,LynnleyBrowning,BernardHickey
613563newsML.txt,LynnleyBrowning,LynnleyBrowning
481244newsML.txt,LynnleyBrowning,LynnleyBrowning
364308newsML.txt,KouroshKarimkhany,KouroshKarimkhany
586446newsML.txt,KouroshKarimkhany,FumikoFujisaki
440833newsML.txt,KouroshKarimkhany,KouroshKarimkhany
467261newsML.txt,KouroshKarimkhany,MartinWolk
500025newsML.txt,KouroshKarimkhany,KouroshKarimkhany
340931newsML.txt,KouroshKarimkhany,KouroshKarimkhany
579258newsML.txt,KouroshKarimkhany,KouroshKarimkhany
357767newsML.txt,KouroshKarimkhany,KouroshKarimkhany
469597newsML.txt,KouroshKarimkhany,KouroshKarimkhany
413844newsML.txt,KouroshKarimkhany,KouroshKarimkhany
357728newsML.txt,KouroshKarimkhany,TheresePoletti
519412newsML.txt,KouroshKarimkhany,KouroshKarimkhany
367345newsML.txt,KouroshKarimkhany,KouroshKarimkhany
585073newsML.txt,KouroshKarimkhany,FumikoFujisaki
572318newsML.txt,KouroshKarimkhany,DavidLawder
560190newsML.txt,KouroshKarimkhany,KouroshKarimkhany
484584newsML.txt,KouroshKarimkhany,KouroshKarimkhany
415396newsML.txt,KouroshKarimkhany,KouroshKarimkhany
436678newsML.txt,KouroshKarimkhany,JoeOrtiz
472722newsML.txt,KouroshKarimkhany,BernardHickey
474506newsML.txt,KouroshKarimkhany,JohnMastrini
469438newsML.txt,KouroshKarimkhany,KouroshKarimkhany
519442newsML.txt,KouroshKarimkhany,KouroshKarimkhany
479078newsML.txt,KouroshKarimkhany,KouroshKarimkhany
445118newsML.txt,KouroshKarimkhany,KouroshKarimkhany
460088newsML.txt,KouroshKarimkhany,TheresePoletti
347274newsML.txt,KouroshKarimkhany,DarrenSchuettler
442588newsML.txt,KouroshKarimkhany,SamuelPerry
576094newsML.txt,KouroshKarimkhany,EricAuchard
559907newsML.txt,KouroshKarimkhany,KouroshKarimkhany
332794newsML.txt,KouroshKarimkhany,KouroshKarimkhany
506693newsML.txt,KouroshKarimkhany,EricAuchard
579892newsML.txt,KouroshKarimkhany,KouroshKarimkhany
494531newsML.txt,KouroshKarimkhany,KouroshKarimkhany
482048newsML.txt,KouroshKarimkhany,KouroshKarimkhany
396513newsML.txt,KouroshKarimkhany,KouroshKarimkhany
515693newsML.txt,KouroshKarimkhany,KouroshKarimkhany
491080newsML.txt,KouroshKarimkhany,JohnMastrini
404573newsML.txt,KouroshKarimkhany,KouroshKarimkhany
578017newsML.txt,KouroshKarimkhany,KouroshKarimkhany
354282newsML.txt,KouroshKarimkhany,AlexanderSmith
491651newsML.txt,KouroshKarimkhany,JohnMastrini
542251newsML.txt,KouroshKarimkhany,LynnleyBrowning
333636newsML.txt,KouroshKarimkhany,KouroshKarimkhany
369687newsML.txt,KouroshKarimkhany,KouroshKarimkhany
579869newsML.txt,KouroshKarimkhany,KouroshKarimkhany
366916newsML.txt,KouroshKarimkhany,KouroshKarimkhany
359178newsML.txt,KouroshKarimkhany,KouroshKarimkhany
349979newsML.txt,KouroshKarimkhany,EdnaFernandes
357220newsML.txt,KouroshKarimkhany,KouroshKarimkhany
637058newsML.txt,MichaelConnor,MichaelConnor
430465newsML.txt,MichaelConnor,MichaelConnor
450775newsML.txt,MichaelConnor,MichaelConnor
625493newsML.txt,MichaelConnor,MichaelConnor
583420newsML.txt,MichaelConnor,MichaelConnor
600966newsML.txt,MichaelConnor,MichaelConnor
532335newsML.txt,MichaelConnor,MichaelConnor
526998newsML.txt,MichaelConnor,MichaelConnor
609836newsML.txt,MichaelConnor,MichaelConnor
616986newsML.txt,MichaelConnor,TheresePoletti
42763newsML.txt,MichaelConnor,MichaelConnor
462353newsML.txt,MichaelConnor,MichaelConnor
638970newsML.txt,MichaelConnor,MichaelConnor
491126newsML.txt,MichaelConnor,MichaelConnor
627633newsML.txt,MichaelConnor,MichaelConnor
430536newsML.txt,MichaelConnor,PatriciaCommins
462265newsML.txt,MichaelConnor,MichaelConnor
534092newsML.txt,MichaelConnor,MichaelConnor
453294newsML.txt,MichaelConnor,NickLouth
520670newsML.txt,MichaelConnor,BernardHickey
536857newsML.txt,MichaelConnor,MichaelConnor
622688newsML.txt,MichaelConnor,MichaelConnor
582683newsML.txt,MichaelConnor,MichaelConnor
517601newsML.txt,MichaelConnor,KouroshKarimkhany
497480newsML.txt,MichaelConnor,JimGilchrist
459052newsML.txt,MichaelConnor,TheresePoletti
445797newsML.txt,MichaelConnor,MichaelConnor
436742newsML.txt,MichaelConnor,MichaelConnor
528737newsML.txt,MichaelConnor,MichaelConnor
489381newsML.txt,MichaelConnor,MichaelConnor
645726newsML.txt,MichaelConnor,MichaelConnor
469650newsML.txt,MichaelConnor,MichaelConnor
49586newsML.txt,MichaelConnor,BernardHickey
540454newsML.txt,MichaelConnor,JohnMastrini
436431newsML.txt,MichaelConnor,AaronPressman
506971newsML.txt,MichaelConnor,TheresePoletti
609390newsML.txt,MichaelConnor,MichaelConnor
542510newsML.txt,MichaelConnor,MichaelConnor
486895newsML.txt,MichaelConnor,TheresePoletti
534165newsML.txt,MichaelConnor,MichaelConnor
530677newsML.txt,MichaelConnor,MichaelConnor
520672newsML.txt,MichaelConnor,JoWinterbottom
48231newsML.txt,MichaelConnor,BernardHickey
633922newsML.txt,MichaelConnor,MichaelConnor
534156newsML.txt,MichaelConnor,AlexanderSmith
634005newsML.txt,MichaelConnor,MichaelConnor
449088newsML.txt,MichaelConnor,MichaelConnor
528203newsML.txt,MichaelConnor,MichaelConnor
486930newsML.txt,MichaelConnor,MichaelConnor
459205newsML.txt,MichaelConnor,MichaelConnor
47681newsML.txt,JoeOrtiz,JoeOrtiz
467057newsML.txt,JoeOrtiz,JoeOrtiz
455552newsML.txt,JoeOrtiz,JoeOrtiz
467485newsML.txt,JoeOrtiz,JoeOrtiz
440510newsML.txt,JoeOrtiz,AlexanderSmith
