Results Summary:
File: data_knn_results.csv

By Author:
           Author  Hits  Strikes  Misses  Precision  Recall       F1
     MatthewBunce   100        3       0   0.970874    1.00 0.985222
   FumikoFujisaki    98        4       2   0.960784    0.98 0.970297
  LynnleyBrowning    98        6       2   0.942308    0.98 0.960784
      KarlPenhaul    96        3       4   0.969697    0.96 0.964824
     RogerFillion    94       10       6   0.903846    0.94 0.921569
   LynneO'Donnell    91       24       9   0.791304    0.91 0.846512
 DarrenSchuettler    90       17      10   0.841121    0.90 0.869565
       RobinSidel    89        6      11   0.936842    0.89 0.912821
   JoWinterbottom    89       24      11   0.787611    0.89 0.835681
    MichaelConnor    89        8      11   0.917526    0.89 0.903553
       TimFarrand    88       16      12   0.846154    0.88 0.862745
     JimGilchrist    87       10      13   0.896907    0.87 0.883249
 HeatherScoffield    87       10      13   0.896907    0.87 0.883249
       AlanCrosby    87       19      13   0.820755    0.87 0.844660
    EdnaFernandes    87       11      13   0.887755    0.87 0.878788
       PierreTran    86       16      14   0.843137    0.86 0.851485
    AaronPressman    86       20      14   0.811321    0.86 0.834951
     MarkBendeich    85       22      15   0.794393    0.85 0.821256
  MarcelMichelson    85        9      15   0.904255    0.85 0.876289
       ToddNissen    85       13      15   0.867347    0.85 0.858586
      DavidLawder    85       19      15   0.817308    0.85 0.833333
KouroshKarimkhany    84       32      16   0.724138    0.84 0.777778
        KeithWeir    84       14      16   0.857143    0.84 0.848485
     JonathanBirt    84       10      16   0.893617    0.84 0.865979
      SimonCowell    82        9      18   0.901099    0.82 0.858639
   GrahamEarnshaw    82       24      18   0.773585    0.82 0.796117
       JanLopatka    81       15      19   0.843750    0.81 0.826531
   TheresePoletti    81       33      19   0.710526    0.81 0.757009
        LydiaZajc    81        4      19   0.952941    0.81 0.875676
         JoeOrtiz    81       26      19   0.757009    0.81 0.782609
        NickLouth    78       16      22   0.829787    0.78 0.804124
   KevinDrawbaugh    77       17      23   0.819149    0.77 0.793814
  PatriciaCommins    77        9      23   0.895349    0.77 0.827957
    KirstinRidley    77       24      23   0.762376    0.77 0.766169
       MartinWolk    76       18      24   0.808511    0.76 0.783505
     JohnMastrini    76       23      24   0.767677    0.76 0.763819
    KevinMorrison    76       29      24   0.723810    0.76 0.741463
      BradDorfman    75       24      25   0.757576    0.75 0.753769
    BernardHickey    70       18      30   0.795455    0.70 0.744681
    PeterHumphrey    68       46      32   0.596491    0.68 0.635514
      EricAuchard    68       35      32   0.660194    0.68 0.669951
     SarahDavison    66       20      34   0.767442    0.66 0.709677
   AlexanderSmith    65       23      35   0.738636    0.65 0.691489
      SamuelPerry    65       27      35   0.706522    0.65 0.677083
         TanEeLyn    61       37      39   0.622449    0.61 0.616162
  BenjaminKangLim    58       58      42   0.500000    0.58 0.537037
    JaneMacartney    58       49      42   0.542056    0.58 0.560386
     WilliamKazer    46       46      54   0.500000    0.46 0.479167
       MureDickie    45       46      55   0.494505    0.45 0.471204
      ScottHillis    42       52      58   0.446809    0.42 0.432990

Overall:
N Correctly Classified:   3946
N Incorrectly Classified: 1054
Accuracy:                 0.789

Confusion Matrix:
pred               AaronPressman  AlanCrosby  AlexanderSmith  BenjaminKangLim  BernardHickey  BradDorfman  DarrenSchuettler  DavidLawder  EdnaFernandes  EricAuchard  FumikoFujisaki  GrahamEarnshaw  HeatherScoffield  JanLopatka  JaneMacartney  JimGilchrist  JoWinterbottom  JoeOrtiz  JohnMastrini  JonathanBirt  KarlPenhaul  KeithWeir  KevinDrawbaugh  KevinMorrison  KirstinRidley  KouroshKarimkhany  LydiaZajc  LynneO'Donnell  LynnleyBrowning  MarcelMichelson  MarkBendeich  MartinWolk  MatthewBunce  MichaelConnor  MureDickie  NickLouth  PatriciaCommins  PeterHumphrey  PierreTran  RobinSidel  RogerFillion  SamuelPerry  SarahDavison  ScottHillis  SimonCowell  TanEeLyn  TheresePoletti  TimFarrand  ToddNissen  WilliamKazer
obs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AaronPressman                 86           0               0                0              0            0                 0            0              0            2               0               1                 0           0              1             0               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          1                0              0           0           0             3            4             0            0            1         0               0           0           0             1
AlanCrosby                     0          87               0                0              0            0                 2            0              0            0               0               1                 0           3              0             0               0         0             6             0            0          1               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             0
AlexanderSmith                 2           0              65                0              0            1                 0            0              1            0               0               1                 0           0              0             0               3        12             0             0            0          2               0              0              2                  0          0               0                0                0             0           0             0              0           0          0                0              0           1           0             0            0             3            0            3         1               1           2           0             0
BenjaminKangLim                0           0               0               58              0            0                 0            0              0            1               0               0                 0           0             15             0               0         0             0             0            0          0               1              0              0                  0          0               1                0                0             0           0             0              0           5          0                0              3           0           0             0            0             1            8            0         1               0           0           0             6
BernardHickey                  0           0               0                0             70            0                 0            0              0            0               0               0                 0           0              0             1               0         0             0             0            0          0               1             13              0                  1          0               0                1                0            11           0             0              0           0          0                0              0           0           1             0            0             0            1            0         0               0           0           0             0
BradDorfman                    1           0               0                1              0           75                 0            4              0            2               0               0                 0           0              0             1               0         1             1             0            0          0               2              1              0                  2          0               0                0                0             1           1             0              1           0          1                1              0           0           0             1            0             0            0            0         1               1           0           1             0
DarrenSchuettler               0           1               0                0              1            0                90            0              0            0               0               0                 3           0              0             0               0         0             0             0            0          0               0              1              0                  0          1               0                0                0             1           0             0              0           0          0                0              0           0           0             1            0             0            0            0         0               1           0           0             0
DavidLawder                    0           0               0                0              0            1                 0           85              1            0               0               0                 0           0              0             0               0         0             0             0            0          0               2              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            2             0            0            0         0               0           0           9             0
EdnaFernandes                  0           0               0                1              0            0                 0            0             87            0               0               0                 0           1              0             1               2         1             0             2            0          1               0              0              1                  0          0               1                0                0             0           0             0              0           1          0                0              0           1           0             0            0             0            0            0         0               0           0           0             0
EricAuchard                    0           0               1                0              0            2                 0            0              0           68               0               0                 1           0              0             0               1         0             0             0            0          0               0              0              1                 10          0               0                0                0             0           1             0              0           0          6                0              0           0           0             0            4             0            0            0         0               5           0           0             0
FumikoFujisaki                 0           0               1                0              0            0                 0            0              0            0              98               0                 0           0              0             0               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             1           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             0
GrahamEarnshaw                 1           1               0                2              0            0                 0            0              0            0               0              82                 0           0              1             0               0         0             0             0            0          0               0              1              0                  0          0               7                0                0             0           0             0              0           1          0                0              0           0           0             0            0             1            1            0         0               0           0           0             2
HeatherScoffield               0           0               0                0              0            0                 4            1              0            0               0               0                87           0              0             0               0         0             0             0            0          0               2              1              0                  0          2               1                0                0             0           0             1              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             1
JanLopatka                     0           4               0                0              0            0                 0            0              0            0               0               0                 0          81              1             0               0         0            12             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                1              0           0           0             0            0             0            0            1         0               0           0           0             0
JaneMacartney                  0           0               0               16              0            0                 0            0              0            0               0               3                 0           0             58             0               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           3          0                0              3           0           0             0            0             0           11            0         1               0           0           0             5
JimGilchrist                   0           0               0                0              1            0                 0            0              1            0               0               0                 0           0              0            87               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           1             0              0           1          0                0              2           0           0             0            0             5            0            0         2               0           0           0             0
JoWinterbottom                 0           0               1                0              0            2                 0            0              0            0               0               0                 0           0              0             0              89         0             0             1            0          0               0              1              4                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           2           0             0
