doc,obs,pred
492830newsML.txt,BradDorfman,BradDorfman
494048newsML.txt,BradDorfman,BradDorfman
497821newsML.txt,BradDorfman,FumikoFujisaki
498878newsML.txt,BradDorfman,BradDorfman
499850newsML.txt,BradDorfman,MarkBendeich
502697newsML.txt,BradDorfman,DarrenSchuettler
509785newsML.txt,BradDorfman,TheresePoletti
510133newsML.txt,BradDorfman,TheresePoletti
510134newsML.txt,BradDorfman,TheresePoletti
532261newsML.txt,BradDorfman,BradDorfman
541677newsML.txt,BradDorfman,GrahamEarnshaw
541918newsML.txt,BradDorfman,GrahamEarnshaw
543949newsML.txt,BradDorfman,JoWinterbottom
544122newsML.txt,BradDorfman,JoWinterbottom
556131newsML.txt,BradDorfman,DavidLawder
559756newsML.txt,BradDorfman,DavidLawder
392045newsML.txt,DarrenSchuettler,HeatherScoffield
394766newsML.txt,DarrenSchuettler,DarrenSchuettler
409728newsML.txt,DarrenSchuettler,DarrenSchuettler
426024newsML.txt,DarrenSchuettler,DarrenSchuettler
431621newsML.txt,DarrenSchuettler,DarrenSchuettler
432674newsML.txt,DarrenSchuettler,HeatherScoffield
43376newsML.txt,DarrenSchuettler,TimFarrand
435085newsML.txt,DarrenSchuettler,RogerFillion
438913newsML.txt,DarrenSchuettler,DarrenSchuettler
451979newsML.txt,DarrenSchuettler,DarrenSchuettler
452451newsML.txt,DarrenSchuettler,DarrenSchuettler
455651newsML.txt,DarrenSchuettler,HeatherScoffield
45789newsML.txt,DarrenSchuettler,TimFarrand
459010newsML.txt,DarrenSchuettler,HeatherScoffield
459922newsML.txt,DarrenSchuettler,HeatherScoffield
469968newsML.txt,DarrenSchuettler,DarrenSchuettler
471511newsML.txt,DarrenSchuettler,HeatherScoffield
471525newsML.txt,DarrenSchuettler,DarrenSchuettler
481633newsML.txt,DarrenSchuettler,DarrenSchuettler
482557newsML.txt,DarrenSchuettler,DarrenSchuettler
48300newsML.txt,DarrenSchuettler,DarrenSchuettler
486842newsML.txt,DarrenSchuettler,DarrenSchuettler
488540newsML.txt,DarrenSchuettler,DarrenSchuettler
488986newsML.txt,DarrenSchuettler,DarrenSchuettler
499175newsML.txt,DarrenSchuettler,DarrenSchuettler
502154newsML.txt,DarrenSchuettler,DarrenSchuettler
508778newsML.txt,DarrenSchuettler,LydiaZajc
521312newsML.txt,DarrenSchuettler,DarrenSchuettler
523429newsML.txt,DarrenSchuettler,JohnMastrini
524128newsML.txt,DarrenSchuettler,HeatherScoffield
537438newsML.txt,DarrenSchuettler,DarrenSchuettler
540778newsML.txt,DarrenSchuettler,DarrenSchuettler
541508newsML.txt,DarrenSchuettler,DarrenSchuettler
54385newsML.txt,DarrenSchuettler,DarrenSchuettler
54386newsML.txt,DarrenSchuettler,DarrenSchuettler
549855newsML.txt,DarrenSchuettler,DarrenSchuettler
