,doc,obs,pred
0,492830newsML.txt,BradDorfman,KeithWeir
1,494048newsML.txt,BradDorfman,KeithWeir
2,497821newsML.txt,BradDorfman,FumikoFujisaki
3,498878newsML.txt,BradDorfman,LydiaZajc
4,499850newsML.txt,BradDorfman,AlexanderSmith
5,502697newsML.txt,BradDorfman,DavidLawder
6,509785newsML.txt,BradDorfman,DavidLawder
7,510133newsML.txt,BradDorfman,BradDorfman
8,510134newsML.txt,BradDorfman,BradDorfman
9,532261newsML.txt,BradDorfman,RobinSidel
10,541677newsML.txt,BradDorfman,JaneMacartney
11,541918newsML.txt,BradDorfman,BradDorfman
12,543949newsML.txt,BradDorfman,BradDorfman
13,544122newsML.txt,BradDorfman,BradDorfman
14,556131newsML.txt,BradDorfman,AlexanderSmith
15,559756newsML.txt,BradDorfman,BradDorfman
16,392045newsML.txt,DarrenSchuettler,DarrenSchuettler
17,394766newsML.txt,DarrenSchuettler,DarrenSchuettler
18,409728newsML.txt,DarrenSchuettler,DarrenSchuettler
19,426024newsML.txt,DarrenSchuettler,DarrenSchuettler
20,431621newsML.txt,DarrenSchuettler,DarrenSchuettler
21,432674newsML.txt,DarrenSchuettler,DarrenSchuettler
22,43376newsML.txt,DarrenSchuettler,HeatherScoffield
23,435085newsML.txt,DarrenSchuettler,DarrenSchuettler
24,438913newsML.txt,DarrenSchuettler,DarrenSchuettler
25,451979newsML.txt,DarrenSchuettler,DarrenSchuettler
26,452451newsML.txt,DarrenSchuettler,DarrenSchuettler
27,455651newsML.txt,DarrenSchuettler,EdnaFernandes
28,45789newsML.txt,DarrenSchuettler,GrahamEarnshaw
29,459010newsML.txt,DarrenSchuettler,DarrenSchuettler
30,459922newsML.txt,DarrenSchuettler,DarrenSchuettler
31,469968newsML.txt,DarrenSchuettler,DarrenSchuettler
32,471511newsML.txt,DarrenSchuettler,DarrenSchuettler
33,471525newsML.txt,DarrenSchuettler,DarrenSchuettler
34,481633newsML.txt,DarrenSchuettler,DarrenSchuettler
35,482557newsML.txt,DarrenSchuettler,DarrenSchuettler
36,48300newsML.txt,DarrenSchuettler,DarrenSchuettler
37,486842newsML.txt,DarrenSchuettler,DarrenSchuettler
38,488540newsML.txt,DarrenSchuettler,DarrenSchuettler
39,488986newsML.txt,DarrenSchuettler,DarrenSchuettler
40,499175newsML.txt,DarrenSchuettler,DarrenSchuettler
41,502154newsML.txt,DarrenSchuettler,DarrenSchuettler
42,508778newsML.txt,DarrenSchuettler,KevinMorrison
43,521312newsML.txt,DarrenSchuettler,DarrenSchuettler
44,523429newsML.txt,DarrenSchuettler,DarrenSchuettler
45,524128newsML.txt,DarrenSchuettler,DarrenSchuettler
46,537438newsML.txt,DarrenSchuettler,DarrenSchuettler
47,540778newsML.txt,DarrenSchuettler,DarrenSchuettler
48,541508newsML.txt,DarrenSchuettler,DarrenSchuettler
49,54385newsML.txt,DarrenSchuettler,DarrenSchuettler
50,54386newsML.txt,DarrenSchuettler,DarrenSchuettler
51,549855newsML.txt,DarrenSchuettler,DarrenSchuettler
52,552118newsML.txt,DarrenSchuettler,DarrenSchuettler
53,553292newsML.txt,DarrenSchuettler,KarlPenhaul
54,554793newsML.txt,DarrenSchuettler,DarrenSchuettler
55,555580newsML.txt,DarrenSchuettler,DarrenSchuettler
56,557176newsML.txt,DarrenSchuettler,FumikoFujisaki
57,558717newsML.txt,DarrenSchuettler,DarrenSchuettler
58,559158newsML.txt,DarrenSchuettler,DarrenSchuettler
59,560178newsML.txt,DarrenSchuettler,DarrenSchuettler
60,561091newsML.txt,DarrenSchuettler,DarrenSchuettler
61,561128newsML.txt,DarrenSchuettler,DarrenSchuettler
62,561518newsML.txt,DarrenSchuettler,DarrenSchuettler
63,561535newsML.txt,DarrenSchuettler,DarrenSchuettler
64,561555newsML.txt,DarrenSchuettler,DarrenSchuettler
65,562335newsML.txt,DarrenSchuettler,DarrenSchuettler
66,183833newsML.txt,DavidLawder,BradDorfman
67,18717newsML.txt,DavidLawder,AlexanderSmith
68,193380newsML.txt,DavidLawder,DavidLawder
69,194855newsML.txt,DavidLawder,DavidLawder
70,195623newsML.txt,DavidLawder,DavidLawder
71,195624newsML.txt,DavidLawder,JoWinterbottom
72,201827newsML.txt,DavidLawder,DavidLawder
73,202581newsML.txt,DavidLawder,KeithWeir
74,203662newsML.txt,DavidLawder,KeithWeir
75,204323newsML.txt,DavidLawder,TheresePoletti
76,217962newsML.txt,DavidLawder,GrahamEarnshaw
77,220677newsML.txt,DavidLawder,DavidLawder
78,227505newsML.txt,DavidLawder,DavidLawder
79,2287newsML.txt,DavidLawder,AaronPressman
80,234153newsML.txt,DavidLawder,RobinSidel
81,234761newsML.txt,DavidLawder,DavidLawder
82,236095newsML.txt,DavidLawder,DavidLawder
83,237047newsML.txt,DavidLawder,DavidLawder
84,237690newsML.txt,DavidLawder,DavidLawder
85,238265newsML.txt,DavidLawder,KeithWeir
86,24396newsML.txt,DavidLawder,FumikoFujisaki
87,25092newsML.txt,DavidLawder,EricAuchard
88,267210newsML.txt,DavidLawder,DavidLawder
89,267732newsML.txt,DavidLawder,DavidLawder
90,27371newsML.txt,DavidLawder,FumikoFujisaki
91,285651newsML.txt,DavidLawder,DavidLawder
92,287113newsML.txt,DavidLawder,AaronPressman
93,287624newsML.txt,DavidLawder,AaronPressman
94,287844newsML.txt,DavidLawder,DavidLawder
95,288662newsML.txt,DavidLawder,DavidLawder
96,290135newsML.txt,DavidLawder,PatriciaCommins
97,290324newsML.txt,DavidLawder,AaronPressman
98,291225newsML.txt,DavidLawder,AaronPressman
99,292695newsML.txt,DavidLawder,DavidLawder
100,294544newsML.txt,DavidLawder,DavidLawder
101,301809newsML.txt,DavidLawder,RogerFillion
102,305874newsML.txt,DavidLawder,DavidLawder
103,309803newsML.txt,DavidLawder,AlanCrosby
104,314006newsML.txt,DavidLawder,DavidLawder
105,316966newsML.txt,DavidLawder,KevinDrawbaugh
106,317022newsML.txt,DavidLawder,KevinDrawbaugh
107,321566newsML.txt,DavidLawder,DavidLawder
108,321597newsML.txt,DavidLawder,DavidLawder
109,322727newsML.txt,DavidLawder,BradDorfman
110,325690newsML.txt,DavidLawder,DavidLawder
111,32590newsML.txt,DavidLawder,DavidLawder
112,330994newsML.txt,DavidLawder,DavidLawder
113,33121newsML.txt,DavidLawder,DavidLawder
114,334855newsML.txt,DavidLawder,DavidLawder
115,336711newsML.txt,DavidLawder,DavidLawder
116,232106newsML.txt,EdnaFernandes,EdnaFernandes
117,232139newsML.txt,EdnaFernandes,EdnaFernandes
118,232185newsML.txt,EdnaFernandes,EdnaFernandes
119,232587newsML.txt,EdnaFernandes,EdnaFernandes
120,237920newsML.txt,EdnaFernandes,EdnaFernandes
121,237949newsML.txt,EdnaFernandes,JonathanBirt
122,239175newsML.txt,EdnaFernandes,AlexanderSmith
123,239177newsML.txt,EdnaFernandes,EdnaFernandes
124,239190newsML.txt,EdnaFernandes,EdnaFernandes
125,240426newsML.txt,EdnaFernandes,EdnaFernandes
126,240680newsML.txt,EdnaFernandes,BradDorfman
127,241063newsML.txt,EdnaFernandes,EdnaFernandes
128,253043newsML.txt,EdnaFernandes,EdnaFernandes
129,254322newsML.txt,EdnaFernandes,EdnaFernandes
130,255765newsML.txt,EdnaFernandes,EdnaFernandes
131,255821newsML.txt,EdnaFernandes,EdnaFernandes
132,266476newsML.txt,EdnaFernandes,EdnaFernandes
