,doc,obs,pred
0,421829newsML.txt,AaronPressman,AaronPressman
1,424074newsML.txt,AaronPressman,AaronPressman
2,42764newsML.txt,AaronPressman,AaronPressman
3,43033newsML.txt,AaronPressman,AaronPressman
4,433558newsML.txt,AaronPressman,AaronPressman
5,436774newsML.txt,AaronPressman,AaronPressman
6,439561newsML.txt,AaronPressman,FumikoFujisaki
7,450383newsML.txt,AaronPressman,AaronPressman
8,450788newsML.txt,AaronPressman,AaronPressman
9,466275newsML.txt,AaronPressman,AaronPressman
10,469448newsML.txt,AaronPressman,AaronPressman
11,478157newsML.txt,AaronPressman,GrahamEarnshaw
12,479564newsML.txt,AaronPressman,DarrenSchuettler
13,482034newsML.txt,AaronPressman,AaronPressman
14,486982newsML.txt,AaronPressman,FumikoFujisaki
15,491060newsML.txt,AaronPressman,AaronPressman
16,491643newsML.txt,AaronPressman,AaronPressman
17,492068newsML.txt,AaronPressman,AaronPressman
18,492770newsML.txt,AaronPressman,AaronPressman
19,493876newsML.txt,AaronPressman,AaronPressman
20,493995newsML.txt,AaronPressman,AaronPressman
21,494466newsML.txt,AaronPressman,AaronPressman
22,496933newsML.txt,AaronPressman,AaronPressman
23,507230newsML.txt,AaronPressman,AaronPressman
24,517526newsML.txt,AaronPressman,AaronPressman
25,518507newsML.txt,AaronPressman,SimonCowell
26,539259newsML.txt,AaronPressman,AaronPressman
27,544012newsML.txt,AaronPressman,AaronPressman
28,566383newsML.txt,AaronPressman,AaronPressman
29,581517newsML.txt,AaronPressman,AaronPressman
30,582759newsML.txt,AaronPressman,AaronPressman
31,582927newsML.txt,AaronPressman,AaronPressman
32,583229newsML.txt,AaronPressman,AaronPressman
33,593702newsML.txt,AaronPressman,AaronPressman
34,593715newsML.txt,AaronPressman,AaronPressman
35,595361newsML.txt,AaronPressman,AaronPressman
36,600865newsML.txt,AaronPressman,AaronPressman
37,601962newsML.txt,AaronPressman,AaronPressman
38,602451newsML.txt,AaronPressman,AaronPressman
39,602453newsML.txt,AaronPressman,AaronPressman
40,605443newsML.txt,AaronPressman,AaronPressman
41,606238newsML.txt,AaronPressman,AaronPressman
42,608287newsML.txt,AaronPressman,AaronPressman
43,629404newsML.txt,AaronPressman,AaronPressman
44,630942newsML.txt,AaronPressman,AaronPressman
45,635785newsML.txt,AaronPressman,AaronPressman
46,637021newsML.txt,AaronPressman,AaronPressman
47,64508newsML.txt,AaronPressman,SarahDavison
48,650163newsML.txt,AaronPressman,BradDorfman
49,653225newsML.txt,AaronPressman,AaronPressman
50,226494newsML.txt,AlanCrosby,AlanCrosby
51,236352newsML.txt,AlanCrosby,AlanCrosby
52,236574newsML.txt,AlanCrosby,AlanCrosby
53,238508newsML.txt,AlanCrosby,AlanCrosby
54,243204newsML.txt,AlanCrosby,AlanCrosby
55,258151newsML.txt,AlanCrosby,AlanCrosby
56,258421newsML.txt,AlanCrosby,AlanCrosby
57,263795newsML.txt,AlanCrosby,AlanCrosby
58,266728newsML.txt,AlanCrosby,AlanCrosby
59,272695newsML.txt,AlanCrosby,KeithWeir
60,290616newsML.txt,AlanCrosby,TimFarrand
61,292115newsML.txt,AlanCrosby,TimFarrand
62,293241newsML.txt,AlanCrosby,AlanCrosby
63,295492newsML.txt,AlanCrosby,AlanCrosby
64,295770newsML.txt,AlanCrosby,AlanCrosby
65,302568newsML.txt,AlanCrosby,AlanCrosby
66,314352newsML.txt,AlanCrosby,AlanCrosby
67,315980newsML.txt,AlanCrosby,AlanCrosby
68,329867newsML.txt,AlanCrosby,AlanCrosby
69,329881newsML.txt,AlanCrosby,AlanCrosby
70,330057newsML.txt,AlanCrosby,AlanCrosby
71,332131newsML.txt,AlanCrosby,AlanCrosby
72,332767newsML.txt,AlanCrosby,AlanCrosby
73,334192newsML.txt,AlanCrosby,AlanCrosby
74,334448newsML.txt,AlanCrosby,AlanCrosby
75,334550newsML.txt,AlanCrosby,AlanCrosby
76,336998newsML.txt,AlanCrosby,PierreTran
77,337258newsML.txt,AlanCrosby,PierreTran
78,339041newsML.txt,AlanCrosby,PierreTran
79,350545newsML.txt,AlanCrosby,AlanCrosby
80,350775newsML.txt,AlanCrosby,AlanCrosby
