Results Summary:
File: knn_results.csv

By Author:
           Author  Hits  Strikes  Misses  Precision  Recall       F1
  LynnleyBrowning   100       47       0   0.680272    1.00 0.809717
   FumikoFujisaki   100       25       0   0.800000    1.00 0.888889
     JimGilchrist    98       30       2   0.765625    0.98 0.859649
     MatthewBunce    94        9       6   0.912621    0.94 0.926108
      KarlPenhaul    93        9       7   0.911765    0.93 0.920792
    PeterHumphrey    92      146       8   0.386555    0.92 0.544379
   GrahamEarnshaw    92       63       8   0.593548    0.92 0.721569
   LynneO'Donnell    89       35      11   0.717742    0.89 0.794643
       AlanCrosby    88       81      12   0.520710    0.88 0.654275
      SimonCowell    86       84      14   0.505882    0.86 0.637037
     RogerFillion    86       35      14   0.710744    0.86 0.778281
   JoWinterbottom    86       65      14   0.569536    0.86 0.685259
    AaronPressman    83       18      17   0.821782    0.83 0.825871
      DavidLawder    80       77      20   0.509554    0.80 0.622568
KouroshKarimkhany    76       76      24   0.500000    0.76 0.603175
   TheresePoletti    75       65      25   0.535714    0.75 0.625000
 HeatherScoffield    75       24      25   0.757576    0.75 0.753769
        LydiaZajc    75       21      25   0.781250    0.75 0.765306
  MarcelMichelson    71       49      29   0.591667    0.71 0.645455
        NickLouth    71       33      29   0.682692    0.71 0.696078
        KeithWeir    70       34      30   0.673077    0.70 0.686275
       MartinWolk    70       70      30   0.500000    0.70 0.583333
 DarrenSchuettler    67       28      33   0.705263    0.67 0.687179
       TimFarrand    63       44      37   0.588785    0.63 0.608696
     JonathanBirt    63       35      37   0.642857    0.63 0.636364
       PierreTran    63       52      37   0.547826    0.63 0.586047
    KirstinRidley    61       76      39   0.445255    0.61 0.514768
    BernardHickey    59       32      41   0.648352    0.59 0.617801
      BradDorfman    55       56      45   0.495495    0.55 0.521327
       RobinSidel    53       17      47   0.757143    0.53 0.623529
    MichaelConnor    52       31      48   0.626506    0.52 0.568306
  PatriciaCommins    51        8      49   0.864407    0.51 0.641509
     MarkBendeich    50       26      50   0.657895    0.50 0.568182
      SamuelPerry    50       21      50   0.704225    0.50 0.584795
    JaneMacartney    48       84      52   0.363636    0.48 0.413793
    KevinMorrison    47       31      53   0.602564    0.47 0.528090
  BenjaminKangLim    43       78      57   0.355372    0.43 0.389140
       JanLopatka    41       27      59   0.602941    0.41 0.488095
     SarahDavison    39       17      61   0.696429    0.39 0.500000
   AlexanderSmith    39       24      61   0.619048    0.39 0.478528
         JoeOrtiz    35        9      65   0.795455    0.35 0.486111
       MureDickie    33       63      67   0.343750    0.33 0.336735
       ToddNissen    33       29      67   0.532258    0.33 0.407407
   KevinDrawbaugh    30        8      70   0.789474    0.30 0.434783
     JohnMastrini    30       16      70   0.652174    0.30 0.410959
      EricAuchard    19       24      81   0.441860    0.19 0.265734
      ScottHillis    18       24      82   0.428571    0.18 0.253521
    EdnaFernandes    17        1      83   0.944444    0.17 0.288136
     WilliamKazer     8       19      92   0.296296    0.08 0.125984
         TanEeLyn     3        4      97   0.428571    0.03 0.056075

Overall:
N Correctly Classified:   3020
N Incorrectly Classified: 1980
Accuracy:                 0.604

Confusion Matrix:
pred               AaronPressman  AlanCrosby  AlexanderSmith  BenjaminKangLim  BernardHickey  BradDorfman  DarrenSchuettler  DavidLawder  EdnaFernandes  EricAuchard  FumikoFujisaki  GrahamEarnshaw  HeatherScoffield  JanLopatka  JaneMacartney  JimGilchrist  JoWinterbottom  JoeOrtiz  JohnMastrini  JonathanBirt  KarlPenhaul  KeithWeir  KevinDrawbaugh  KevinMorrison  KirstinRidley  KouroshKarimkhany  LydiaZajc  LynneO'Donnell  LynnleyBrowning  MarcelMichelson  MarkBendeich  MartinWolk  MatthewBunce  MichaelConnor  MureDickie  NickLouth  PatriciaCommins  PeterHumphrey  PierreTran  RobinSidel  RogerFillion  SamuelPerry  SarahDavison  ScottHillis  SimonCowell  TanEeLyn  TheresePoletti  TimFarrand  ToddNissen  WilliamKazer
obs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AaronPressman                 83           0               0                0              0            1                 1            0              0            0               2               3                 0           0              0             0               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             4            2             1            0            1         0               2           0           0             0
AlanCrosby                     0          88               0                0              0            0                 0            0              0            0               0               0                 0           4              0             0               0         0             1             0            0          1               0              0              1                  0          0               0                0                0             0           0             0              0           0          0                0              0           3           0             0            0             0            0            0         0               0           2           0             0
AlexanderSmith                 1           1              39                1              0            0                 1            0              0            1               2               1                 0           0              0             0               6         8             0             2            0          2               0              1              9                  0          0               0                0                3             1           0             0              0           0          1                0              0           1           0             0            0             4            0           11         0               1           3           0             0
BenjaminKangLim                0           0               0               43              0            0                 0            0              0            0               3               6                 0           0             21             0               0         0             0             0            0          0               0              0              0                  0          0               1                1                0             0           0             2              0           7          0                0              3           0           0             0            0             0            9            0         0               0           0           0             4
BernardHickey                  0           0               0                0             59            0                 1            0              0            0               0               1                 1           0              0             2               1         0             0             0            0          1               0             14              0                  0          0               1                0                1            10           0             0              2           0          2                0              0           0           0             0            0             2            0            0         0               1           1           0             0
BradDorfman                    0           0               2                0              0           55                 5            4              0            6               1               1                 0           0              0             3               1         0             0             1            0          0               0              1              0                  3          0               0                0                0             1           2             0              0           0          1                1              0           0           1             0            0             0            0            0         1               7           2           1             0
DarrenSchuettler               0           2               0                0              0            0                67            0              0            0               0               0                 8           0              0             0               0         0             0             0            0          1               0              0              0                  0         11               0                0                0             0           1             0              0           0          0                0              0           0           1             2            0             0            0            2         0               0           5           0             0
DavidLawder                    0           0               0                0              0            2                 0           80              0            0               0               0                 0           0              0             0               0         0             0             0            0          0               0              0              0                  1          0               1                0                0             0           0             0              0           0          1                2              0           1           0             0            0             0            0            0         0               0           0          12             0
EdnaFernandes                  0           0               2                0              0            1                 1            2             17            0               1               0                 0           0              0             5              15         0             0             1            2          2               1              0              2                  0          0               0                4                3             2           0             0              3           0          0                0              0          11           6             0            0             0            0           11         1               0           2           5             0
EricAuchard                    0           0               0                0              0            1                 0            0              0           19               0               0                 0           0              0             0               0         0             0             0            0          2               0              0              3                 17          0               0                0                0             0           8             0              0           1         15                0              0           0           0             4            5             0            0            0         0              25           0           0             0
FumikoFujisaki                 0           0               0                0              0            0                 0            0              0            0             100               0                 0           0              0             0               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             0
GrahamEarnshaw                 1           0               0                1              0            0                 0            0              0            0               0              92                 0           0              2             1               0         0             0             0            0          0               0              0              0                  0          0               2                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             1
HeatherScoffield               0           0               0                1              0            0                 5            0              0            0               0               0                75           0              0             1               1         0             0             0            0          0               1              3              0                  0          6               4                0                0             0           0             0              0           3          0                0              0           0           0             0            0             0            0            0         0               0           0           0             0
JanLopatka                     0          28               0                0              0            0                 0            0              0            0               0               0                 0          41              0             0               1         0            12             0            0          0               0              0              0                  0          0               3                9                0             1           0             0              0           0          0                0              0           3           0             0            0             0            0            0         0               2           0           0             0
JaneMacartney                  0           2               0               16              0            0                 0            0              0            0               0               7                 2           0             48             0               0         0             0             0            0          0               0              0              0                  0          0               0                2                0             0           0             0              0          12          0                0              2           0           0             0            0             0            8            0         0               0           0           0             1
JimGilchrist                   0           0               0                0              0            0                 0            0              0            0               0               0                 0           0              0            98               0         0             0             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              1           1           0             0            0             0            0            0         0               0           0           0             0
JoWinterbottom                 0           0               0                0              0            4                 0            0              0            0               0               0                 0           0              0             0              86         0             0             0            0          3               0              0              3                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            2         0               0           2           0             0
