Results Summary:
File: data_rf_results.csv

By Author:
           Author  Hits  Strikes  Misses  Precision  Recall       F1
     JohnMastrini    89      285      11   0.237968    0.89 0.375527
      DavidLawder    88       51      12   0.633094    0.88 0.736402
   TheresePoletti    84      146      16   0.365217    0.84 0.509091
   JoWinterbottom    82       29      18   0.738739    0.82 0.777251
   GrahamEarnshaw    81       40      19   0.669421    0.81 0.733032
       AlanCrosby    79       63      21   0.556338    0.79 0.652893
    KirstinRidley    77       24      23   0.762376    0.77 0.766169
     JimGilchrist    77       26      23   0.747573    0.77 0.758621
    BernardHickey    76       67      24   0.531469    0.76 0.625514
   LynneO'Donnell    76       17      24   0.817204    0.76 0.787565
   AlexanderSmith    75       77      25   0.493421    0.75 0.595238
  MarcelMichelson    75       17      25   0.815217    0.75 0.781250
    AaronPressman    73       76      27   0.489933    0.73 0.586345
      BradDorfman    72       59      28   0.549618    0.72 0.623377
        NickLouth    71       35      29   0.669811    0.71 0.689320
     MatthewBunce    70        3      30   0.958904    0.70 0.809249
    EdnaFernandes    70       56      30   0.555556    0.70 0.619469
       PierreTran    69       21      31   0.766667    0.69 0.726316
        LydiaZajc    69       12      31   0.851852    0.69 0.762431
    KevinMorrison    68       19      32   0.781609    0.68 0.727273
   FumikoFujisaki    67       39      33   0.632075    0.67 0.650485
       RobinSidel    67        4      33   0.943662    0.67 0.783626
    PeterHumphrey    67       16      33   0.807229    0.67 0.732240
     JonathanBirt    66       25      34   0.725275    0.66 0.691099
     MarkBendeich    65       22      35   0.747126    0.65 0.695187
KouroshKarimkhany    65       21      35   0.755814    0.65 0.698925
  BenjaminKangLim    65       55      35   0.541667    0.65 0.590909
         JoeOrtiz    65       30      35   0.684211    0.65 0.666667
  LynnleyBrowning    64       11      36   0.853333    0.64 0.731429
         TanEeLyn    63       50      37   0.557522    0.63 0.591549
       TimFarrand    62       17      38   0.784810    0.62 0.692737
        KeithWeir    62       10      38   0.861111    0.62 0.720930
 DarrenSchuettler    62       35      38   0.639175    0.62 0.629442
 HeatherScoffield    61       21      39   0.743902    0.61 0.670330
       MartinWolk    60       14      40   0.810811    0.60 0.689655
      SimonCowell    59       14      41   0.808219    0.59 0.682081
     RogerFillion    59        6      41   0.907692    0.59 0.715152
    JaneMacartney    59       40      41   0.595960    0.59 0.592965
    MichaelConnor    58        8      42   0.878788    0.58 0.698795
  PatriciaCommins    58       16      42   0.783784    0.58 0.666667
      EricAuchard    57       35      43   0.619565    0.57 0.593750
       JanLopatka    57       24      43   0.703704    0.57 0.629834
       ToddNissen    56        9      44   0.861538    0.56 0.678788
     SarahDavison    53       13      47   0.803030    0.53 0.638554
      ScottHillis    49       20      51   0.710145    0.49 0.579882
   KevinDrawbaugh    44        8      56   0.846154    0.44 0.578947
       MureDickie    44       15      56   0.745763    0.44 0.553459
      KarlPenhaul    43       14      57   0.754386    0.43 0.547771
      SamuelPerry    42       17      58   0.711864    0.42 0.528302
     WilliamKazer    36       12      64   0.750000    0.36 0.486486

Overall:
N Correctly Classified:   3256
N Incorrectly Classified: 1744
Accuracy:                 0.651

Confusion Matrix:
pred               AaronPressman  AlanCrosby  AlexanderSmith  BenjaminKangLim  BernardHickey  BradDorfman  DarrenSchuettler  DavidLawder  EdnaFernandes  EricAuchard  FumikoFujisaki  GrahamEarnshaw  HeatherScoffield  JanLopatka  JaneMacartney  JimGilchrist  JoWinterbottom  JoeOrtiz  JohnMastrini  JonathanBirt  KarlPenhaul  KeithWeir  KevinDrawbaugh  KevinMorrison  KirstinRidley  KouroshKarimkhany  LydiaZajc  LynneO'Donnell  LynnleyBrowning  MarcelMichelson  MarkBendeich  MartinWolk  MatthewBunce  MichaelConnor  MureDickie  NickLouth  PatriciaCommins  PeterHumphrey  PierreTran  RobinSidel  RogerFillion  SamuelPerry  SarahDavison  ScottHillis  SimonCowell  TanEeLyn  TheresePoletti  TimFarrand  ToddNissen  WilliamKazer
obs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AaronPressman                 73           0               2                0              0            0                 0            1              0            0               2               0                 1           1              0             0               0         0             8             0            0          0               0              0              2                  0          0               0                0                1             1           0             0              0           0          0                0              0           2           1             0            0             1            0            0         0               4           0           0             0
AlanCrosby                     0          79               0                0              0            0                 0            0              0            0               3               0                 0           3              0             0               1         0            13             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               0           1           0             0
AlexanderSmith                 2           3              75                0              0            1                 0            0              1            0               0               1                 0           0              0             0               1         1             3             0            1          0               0              0              2                  0          1               0                0                2             0           0             0              0           0          2                0              0           0           0             0            0             0            0            2         0               1           1           0             0
BenjaminKangLim                2           2               5               65              0            0                 0            0              0            0               0               0                 0           0              3             0               0         1             7             0            0          0               0              0              0                  0          0               0                0                1             0           0             0              0           2          0                0              1           0           0             0            0             0            3            0         7               0           0           0             1
BernardHickey                  0           2               3                0             76            0                 0            0              0            0               3               0                 0           0              0             1               0         4             2             2            0          0               0              2              0                  0          0               0                0                0             2           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               3           0           0             0
BradDorfman                    0           1               1                0              1           72                 1            1              0            1               0               0                 0           0              0             0               0         1             4             0            0          0               0              0              0                  1          1               0                0                0             0           1             0              0           0          1                4              0           0           0             0            0             0            0            0         0               7           0           2             0
DarrenSchuettler               3           2               1                1              1            2                62            1              0            0               1               2                 1           0              0             1               0         0             7             1            0          0               1              1              0                  1          4               0                0                0             1           0             0              0           0          0                0              0           1           0             0            0             0            0            0         0               4           1           0             0
DavidLawder                    0           0               0                0              0            3                 0           88              0            0               0               0                 0           0              0             0               0         0             3             0            0          0               0              1              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            1             0            0            0         0               3           0           1             0
EdnaFernandes                  0           0               2                0              3            1                 1            0             70            0               0               1                 0           0              0             1               5         0             2             5            1          0               0              0              0                  1          0               0                0                0             0           0             0              1           0          0                0              0           1           1             0            0             0            0            2         0               1           1           0             0
EricAuchard                    0           0               0                0              2            5                 2            3              1           57               0               0                 1           0              0             0               0         0             3             0            0          0               0              0              0                  1          0               0                0                1             0           1             0              0           0          6                1              0           0           0             1            3             0            0            0         0              12           0           0             0
FumikoFujisaki                 4           1               0                1              2            1                 2            1              1            1              67               1                 0           1              0             0               0         0             8             0            0          0               0              0              0                  0          0               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             1            0            0         0               5           0           3             0
GrahamEarnshaw                 1           1               2                1              0            0                 1            0              0            0               1              81                 0           0              2             0               0         1             5             0            0          0               0              0              0                  0          1               0                0                0             0           0             0              0           0          0                0              0           0           0             0            0             0            0            0         2               0           0           0             1
HeatherScoffield               1           1               3                4              2            3                 0            0              5            0               0               0                61           0              0             3               0         1             6             0            0          0               0              0              0                  1          0               0                0                0             1           1             0              0           1          0                0              0           1           0             0            0             0            0            0         0               5           0           0             0
JanLopatka                     1           7               0                0              2            0                 0            0              0            0               0               0                 0          57              2             0               0         0            25             0            0          1               0              0              0                  1          1               0                0                0             1           0             0              0           0          0                0              0           0           0             0            0             0            0            0         0               1           1           0             0
JaneMacartney                  2           0               0                5              0            0                 0            1              0            0               3               4                 0           0             59             1               0         0             9             0            1          0               0              0              0                  0          0               0                0                0             0           0             0              0           2          0                0              0           0           0             0            0             1            5            0         4               1           0           0             2
JimGilchrist                   0           0               2                1              0            1                 1            2              0            0               1               2                 1           0              1            77               0         0             3             0            0          1               0              0              0                  1          0               0                1                0             0           0             0              0           0          1                0              0           0           0             0            0             0            0            0         0               4           0           0             0
JoWinterbottom                 0           1               1                0              1            1                 0            0              7            1               0               0                 0           1              0             0              82         1             0             0            0          1               0              0              2                  0          0               0                0                0             0           0             1              0           0          0                0              0           0           0             0            0             0            0            0         0               0           0           0             0
