Page Rank, d=0.85

File: NCAA_football.csv
Read Time:       959.846ms
Processing Time: 197.107ms
N Iterations:    4

 Rank                         Node  PageRank
    1                 North Dakota  0.001111
    2                  Weber State  0.001098
    3                      Montana  0.001084
    4                 South Dakota  0.001022
    5           Northwestern State  0.000970
    6                      Florida  0.000935
    7                         Iona  0.000934
    8                     Richmond  0.000922
    9                         Utah  0.000915
   10                     Oklahoma  0.000901
   11             Central Arkansas  0.000898
   12                 Sacred Heart  0.000888
   13               Savannah State  0.000888
   14                   Texas Tech  0.000878
   15                        Texas  0.000870
   16         South Carolina State  0.000862
   17            Bryant University  0.000856
   18              Grambling State  0.000851
   19                      Liberty  0.000840
   20                  Mississippi  0.000840
   21                          TCU  0.000834
   22                        Drake  0.000830
   23                      Samford  0.000828
   24                          USC  0.000825
   25                James Madison  0.000820
   26                McNeese State  0.000785
   27             Tennessee-Martin  0.000778
   28                 Oregon State  0.000774
   29             Prairie View A&M  0.000769
   30                        Tulsa  0.000768
   31                New Hampshire  0.000761
   32                    San Diego  0.000760
   33            Appalachian State  0.000759
   34                Northern Iowa  0.000737
   35                    Villanova  0.000736
   36                 Jacksonville  0.000733
   37                       Butler  0.000731
   38             Sacramento State  0.000730
   39                  Texas State  0.000728
   40                      Alabama  0.000719
   41                Virginia Tech  0.000711
   42                       Furman  0.000707
   43                        Brown  0.000705
   44                  Boise State  0.000704
   45                       Dayton  0.000696
   46                   Cincinnati  0.000691
   47                   Penn State  0.000691
   48                 Presbyterian  0.000687
   49                 Georgia Tech  0.000681
   50            Stephen F. Austin  0.000668
   51                      Georgia  0.000661
   52               Texas Southern  0.000658
   53                Jackson State  0.000650
   54                      Harvard  0.000649
   55                   Ball State  0.000642
   56                   Pittsburgh  0.000641
   57                       Albany  0.000640
   58                         Iowa  0.000639
   59                   Ohio State  0.000635
   60            Southern Illinois  0.000634
   61                West Virginia  0.000633
   62                        Maine  0.000633
   63             Northern Arizona  0.000631
   64                     Missouri  0.000624
   65                      Colgate  0.000621
   66                 Murray State  0.000620
   67                East Carolina  0.000620
   68                  Florida A&M  0.000618
   69               Boston College  0.000614
   70                     Delaware  0.000614
   71               North Carolina  0.000612
   72                     Davidson  0.000610
   73                 Gardner-Webb  0.000609
   74                       Oregon  0.000603
   75                Brigham Young  0.000601
   76                Norfolk State  0.000599
   77                      Wofford  0.000599
   78                   California  0.000599
   79          Charleston Southern  0.000597
   80                 Northwestern  0.000596
   81                    Lafayette  0.000593
   82               Michigan State  0.000589
   83            Sam Houston State  0.000589
   84     Southeast Missouri State  0.000586
   85                Florida State  0.000585
   86                       Nevada  0.000585
   87                      Buffalo  0.000583
   88                  Wake Forest  0.000582
   89                         Rice  0.000581
   90                          LSU  0.000578
   91              Tennessee State  0.000578
   92                     Nebraska  0.000577
   93                Montana State  0.000576
   94                      Houston  0.000575
   95               Portland State  0.000574
   96             Eastern Kentucky  0.000572
   97  Virginia Military Institute  0.000572
   98               Oklahoma State  0.000571
   99                     Maryland  0.000568
  100                       Kansas  0.000568
  101                   Vanderbilt  0.000567
  102                     Monmouth  0.000567
  103           Eastern Washington  0.000563
  104                      Rutgers  0.000559
  105                South Florida  0.000557
  106                   Holy Cross  0.000556
  107               South Carolina  0.000555
  108                Massachusetts  0.000553
  109               Morehead State  0.000552
  110               Tennessee Tech  0.000552
  111                  Connecticut  0.000552
  112    Central Connecticut State  0.000543
  113          Arkansas-Pine Bluff  0.000543
  114                   Valparaiso  0.000541
  115                      Arizona  0.000540
  116                      Clemson  0.000540
  117                Alabama State  0.000537
  118           North Carolina A&T  0.000537
  119                     Cal Poly  0.000536
  120                         Elon  0.000536
  121             Western Carolina  0.000535
  122                         Navy  0.000531
  123             Central Michigan  0.000530
  124                    Wisconsin  0.000529
  125                     Virginia  0.000528
  126             Western Illinois  0.000526
